NewAccounts,firstPurchaseDate
1,2007-01-04
1,2007-07-19
1,2007-08-22
1,2007-08-28
1,2008-01-18
1,2008-01-28
1,2008-01-29
1,2008-02-15
1,2008-05-21
1,2009-05-14
1,2010-03-31
1,2010-07-29
1,2012-11-19
1,2013-06-29
1,2013-11-30
1,2014-01-07
1,2014-02-06
1,2014-11-29
1,2015-04-02
1,2015-04-12
1,2015-04-30
1,2015-05-01
1,2015-05-31
1,2015-06-19
1,2015-09-26
1,2015-10-21
1,2015-12-13
1,2015-12-21
1,2016-01-16
1,2016-04-22
1,2016-06-14
1,2016-06-16
1,2016-07-25
1,2016-08-26
1,2016-09-04
1,2016-11-24
1,2016-11-25
1,2016-11-27
1,2016-11-28
1,2016-11-29
1,2016-11-30
2,2016-12-05
1,2016-12-07
27,2017-01-01
703,2017-01-02
939,2017-01-03
749,2017-01-04
760,2017-01-05
157,2017-01-06
313,2017-01-07
214,2017-01-08
531,2017-01-09
543,2017-01-10
571,2017-01-11
267,2017-01-12
296,2017-01-13
159,2017-01-14
12,2017-01-15
305,2017-01-16
242,2017-01-17
245,2017-01-18
287,2017-01-19
246,2017-01-20
159,2017-01-21
16,2017-01-22
306,2017-01-23
240,2017-01-24
289,2017-01-25
285,2017-01-26
283,2017-01-27
156,2017-01-28
27,2017-01-29
277,2017-01-30
278,2017-01-31
328,2017-02-01
302,2017-02-02
351,2017-02-03
281,2017-02-04
170,2017-02-05
373,2017-02-06
586,2017-02-07
522,2017-02-08
545,2017-02-09
665,2017-02-10
441,2017-02-11
62,2017-02-12
484,2017-02-13
419,2017-02-14
239,2017-02-15
306,2017-02-16
275,2017-02-17
159,2017-02-18
30,2017-02-19
191,2017-02-20
118,2017-02-21
257,2017-02-22
280,2017-02-23
239,2017-02-24
149,2017-02-25
26,2017-02-26
233,2017-02-27
251,2017-02-28
259,2017-03-01
293,2017-03-02
310,2017-03-03
250,2017-03-04
119,2017-03-05
394,2017-03-06
445,2017-03-07
393,2017-03-08
392,2017-03-09
483,2017-03-10
289,2017-03-11
38,2017-03-12
315,2017-03-13
478,2017-03-14
404,2017-03-15
285,2017-03-16
333,2017-03-17
256,2017-03-18
44,2017-03-19
306,2017-03-20
259,2017-03-21
271,2017-03-22
308,2017-03-23
331,2017-03-24
274,2017-03-25
43,2017-03-26
305,2017-03-27
313,2017-03-28
364,2017-03-29
297,2017-03-30
361,2017-03-31
317,2017-04-01
44,2017-04-02
297,2017-04-03
374,2017-04-04
381,2017-04-05
415,2017-04-06
489,2017-04-07
373,2017-04-08
128,2017-04-09
457,2017-04-10
532,2017-04-11
326,2017-04-12
171,2017-04-13
49,2017-04-14
259,2017-04-15
39,2017-04-16
243,2017-04-17
368,2017-04-18
428,2017-04-19
489,2017-04-20
584,2017-04-21
437,2017-04-22
69,2017-04-23
424,2017-04-24
575,2017-04-25
573,2017-04-26
574,2017-04-27
617,2017-04-28
405,2017-04-29
223,2017-04-30
83,2017-05-01
682,2017-05-02
674,2017-05-03
182,2017-05-04
132,2017-05-05
122,2017-05-06
115,2017-05-07
262,2017-05-08
190,2017-05-09
119,2017-05-10
236,2017-05-11
76,2017-05-12
95,2017-05-13
30,2017-05-14
521,2017-05-15
793,2017-05-16
342,2017-05-17
385,2017-05-18
1142,2017-05-19
981,2017-05-20
236,2017-05-21
1295,2017-05-22
1337,2017-05-23
1529,2017-05-24
1607,2017-05-25
1732,2017-05-26
1661,2017-05-27
243,2017-05-28
1253,2017-05-29
1392,2017-05-30
1488,2017-05-31
1741,2017-06-01
1866,2017-06-02
1778,2017-06-03
207,2017-06-04
1291,2017-06-05
1401,2017-06-06
1400,2017-06-07
1574,2017-06-08
1727,2017-06-09
1637,2017-06-10
273,2017-06-11
1133,2017-06-12
1361,2017-06-13
3587,2017-06-14
3457,2017-06-15
3517,2017-06-16
2153,2017-06-17
289,2017-06-18
1302,2017-06-19
1367,2017-06-20
1399,2017-06-21
1328,2017-06-22
1307,2017-06-23
876,2017-06-24
249,2017-06-25
1173,2017-06-26
1270,2017-06-27
1488,2017-06-28
1367,2017-06-29
1898,2017-06-30
2143,2017-07-01
852,2017-07-02
1644,2017-07-03
1579,2017-07-04
1783,2017-07-05
1984,2017-07-06
1864,2017-07-07
1827,2017-07-08
338,2017-07-09
1643,2017-07-10
1828,2017-07-11
1787,2017-07-12
1841,2017-07-13
1969,2017-07-14
1891,2017-07-15
313,2017-07-16
1758,2017-07-17
1774,2017-07-18
1861,2017-07-19
1883,2017-07-20
1875,2017-07-21
1832,2017-07-22
370,2017-07-23
1881,2017-07-24
1595,2017-07-25
2009,2017-07-26
1715,2017-07-27
1869,2017-07-28
1671,2017-07-29
350,2017-07-30
1657,2017-07-31
1811,2017-08-01
1723,2017-08-02
1699,2017-08-03
1633,2017-08-04
1579,2017-08-05
321,2017-08-06
1772,2017-08-07
1754,2017-08-08
1774,2017-08-09
1877,2017-08-10
1791,2017-08-11
1452,2017-08-12
337,2017-08-13
1893,2017-08-14
386,2017-08-15
1596,2017-08-16
1576,2017-08-17
1595,2017-08-18
1306,2017-08-19
294,2017-08-20
1565,2017-08-21
1494,2017-08-22
1699,2017-08-23
1679,2017-08-24
1674,2017-08-25
1418,2017-08-26
308,2017-08-27
1645,2017-08-28
1693,2017-08-29
1798,2017-08-30
1763,2017-08-31
1801,2017-09-01
1719,2017-09-02
361,2017-09-03
1521,2017-09-04
1670,2017-09-05
1717,2017-09-06
1844,2017-09-07
1703,2017-09-08
1884,2017-09-09
352,2017-09-10
1473,2017-09-11
1583,2017-09-12
1657,2017-09-13
1740,2017-09-14
1894,2017-09-15
1849,2017-09-16
312,2017-09-17
1502,2017-09-18
1441,2017-09-19
1527,2017-09-20
1564,2017-09-21
