TotalSales,effectiveDate
5,2017-01-02
3,2017-01-04
5,2017-01-05
1,2017-01-07
1,2017-01-09
3,2017-01-10
5,2017-01-11
1,2017-01-12
3,2017-01-13
3,2017-01-14
2,2017-01-16
2,2017-01-17
1,2017-01-18
1,2017-01-21
6,2017-01-23
1,2017-01-24
2,2017-01-25
1,2017-01-27
1,2017-01-28
5,2017-01-30
4,2017-01-31
3,2017-02-01
2,2017-02-02
2,2017-02-03
3,2017-02-04
3,2017-02-06
5,2017-02-07
5,2017-02-08
2,2017-02-09
7,2017-02-10
2,2017-02-11
2,2017-02-12
3,2017-02-13
2,2017-02-14
4,2017-02-15
2,2017-02-16
2,2017-02-18
2,2017-02-20
1,2017-02-22
6,2017-02-23
2,2017-02-24
3,2017-02-25
1,2017-02-28
1,2017-03-02
2,2017-03-03
3,2017-03-04
4,2017-03-06
4,2017-03-07
1,2017-03-08
1,2017-03-09
6,2017-03-10
4,2017-03-11
3,2017-03-13
1,2017-03-14
2,2017-03-15
6,2017-03-16
2,2017-03-17
1,2017-03-18
1,2017-03-20
1,2017-03-23
1,2017-03-24
2,2017-03-25
3,2017-03-27
2,2017-03-28
5,2017-03-29
6,2017-03-30
5,2017-03-31
4,2017-04-01
8,2017-04-03
3,2017-04-04
5,2017-04-05
2,2017-04-06
6,2017-04-07
1,2017-04-08
5,2017-04-10
5,2017-04-11
3,2017-04-12
2,2017-04-15
1,2017-04-16
2,2017-04-17
3,2017-04-18
1,2017-04-19
1,2017-04-20
4,2017-04-21
1,2017-04-22
2,2017-04-24
1,2017-04-25
7,2017-04-26
6,2017-04-27
9,2017-04-28
2,2017-04-29
4,2017-04-30
2,2017-05-01
11,2017-05-02
2,2017-05-03
2,2017-05-04
1,2017-05-07
1,2017-05-08
1,2017-05-09
1,2017-05-11
1,2017-05-13
1,2017-05-15
4,2017-05-16
1,2017-05-17
2,2017-05-18
1,2017-05-19
3,2017-05-20
2,2017-05-22
1,2017-05-23
4,2017-05-25
13,2017-05-26
11,2017-05-27
3,2017-05-28
14,2017-05-29
12,2017-05-30
13,2017-05-31
19,2017-06-01
15,2017-06-02
18,2017-06-03
1,2017-06-04
11,2017-06-05
38,2017-06-06
35,2017-06-07
19,2017-06-08
13,2017-06-09
5,2017-06-10
4,2017-06-11
13,2017-06-12
16,2017-06-13
40,2017-06-14
29,2017-06-15
50,2017-06-16
10,2017-06-17
7,2017-06-18
19,2017-06-19
19,2017-06-20
15,2017-06-21
20,2017-06-22
16,2017-06-23
8,2017-06-24
18,2017-06-26
10,2017-06-27
16,2017-06-28
11,2017-06-29
16,2017-06-30
11,2017-07-01
7,2017-07-02
14,2017-07-03
10,2017-07-04
10,2017-07-05
8,2017-07-06
12,2017-07-07
10,2017-07-08
3,2017-07-09
7,2017-07-10
8,2017-07-11
5,2017-07-12
4,2017-07-13
3,2017-07-14
5,2017-07-15
4,2017-07-17
6,2017-07-18
4,2017-07-19
7,2017-07-20
25,2017-07-21
19,2017-07-22
2,2017-07-23
20,2017-07-24
20,2017-07-25
15,2017-07-26
23,2017-07-27
25,2017-07-28
19,2017-07-29
2,2017-07-30
19,2017-07-31
24,2017-08-01
32,2017-08-02
21,2017-08-03
17,2017-08-04
26,2017-08-05
4,2017-08-06
30,2017-08-07
18,2017-08-08
19,2017-08-09
28,2017-08-10
18,2017-08-11
27,2017-08-12
1,2017-08-13
29,2017-08-14
4,2017-08-15
23,2017-08-16
19,2017-08-17
23,2017-08-18
18,2017-08-19
9,2017-08-20
27,2017-08-21
20,2017-08-22
25,2017-08-23
33,2017-08-24
23,2017-08-25
21,2017-08-26
11,2017-08-27
23,2017-08-28
35,2017-08-29
19,2017-08-30
26,2017-08-31
28,2017-09-01
31,2017-09-02
9,2017-09-03
22,2017-09-04
21,2017-09-05
16,2017-09-06
22,2017-09-07
38,2017-09-08
32,2017-09-09
4,2017-09-10
19,2017-09-11
25,2017-09-12
25,2017-09-13
21,2017-09-14
31,2017-09-15
32,2017-09-16
4,2017-09-17
16,2017-09-18
23,2017-09-19
21,2017-09-20
21,2017-09-21
19,2017-09-22
37,2017-09-23
7,2017-09-24
20,2017-09-25
32,2017-09-26
27,2017-09-27
24,2017-09-28
27,2017-09-29
24,2017-09-30
5,2017-10-01
13,2017-10-02
21,2017-10-03
22,2017-10-04
28,2017-10-05
33,2017-10-06
20,2017-10-07
8,2017-10-08
18,2017-10-09
29,2017-10-10
28,2017-10-11
9,2017-10-12
27,2017-10-13
25,2017-10-14
4,2017-10-15
14,2017-10-16
15,2017-10-17
16,2017-10-18
13,2017-10-19
29,2017-10-20
29,2017-10-21
7,2017-10-22
18,2017-10-23
22,2017-10-24
18,2017-10-25
14,2017-10-26
24,2017-10-27
22,2017-10-28
5,2017-10-29
14,2017-10-30
15,2017-10-31
8,2017-11-01
21,2017-11-02
21,2017-11-03
27,2017-11-04
3,2017-11-05
22,2017-11-06
23,2017-11-07
27,2017-11-08
22,2017-11-09
20,2017-11-10
30,2017-11-11
7,2017-11-12
26,2017-11-13
19,2017-11-14
26,2017-11-15
8,2017-11-16
25,2017-11-17
28,2017-11-18
11,2017-11-19
15,2017-11-20
19,2017-11-21
13,2017-11-22
47,2017-11-23
75,2017-11-24
55,2017-11-25
29,2017-11-26
29,2017-11-27
15,2017-11-28
26,2017-11-29
21,2017-11-30
36,2017-12-01
38,2017-12-02
4,2017-12-03
36,2017-12-04
30,2017-12-05
20,2017-12-06
37,2017-12-07
22,2017-12-08
27,2017-12-09
4,2017-12-10
85,2017-12-11
53,2017-12-12
50,2017-12-13
10,2017-12-14
12,2017-12-15
12,2017-12-16
6,2017-12-17
25,2017-12-18
55,2017-12-19
85,2017-12-20
69,2017-12-21
77,2017-12-22
58,2017-12-23
46,2017-12-24
3,2017-12-25
62,2017-12-26
65,2017-12-27
64,2017-12-28
57,2017-12-29
28,2017-12-30
10,2017-12-31
59,2018-01-02
105,2018-01-03
89,2018-01-04
101,2018-01-05
1,2018-01-06
32,2018-01-07
33,2018-01-08
29,2018-01-09
24,2018-01-10
25,2018-01-11
32,2018-01-12
46,2018-01-13
4,2018-01-14
17,2018-01-15
19,2018-01-16
24,2018-01-17
30,2018-01-18
26,2018-01-19
31,2018-01-20
4,2018-01-21
14,2018-01-22
16,2018-01-23
19,2018-01-24
21,2018-01-25
31,2018-01-26
26,2018-01-27
4,2018-01-28
22,2018-01-29
13,2018-01-30
23,2018-01-31
19,2018-02-01
26,2018-02-02
20,2018-02-03
2,2018-02-04
16,2018-02-05
15,2018-02-06
19,2018-02-07
16,2018-02-08
27,2018-02-09
14,2018-02-10
6,2018-02-11
13,2018-02-12
23,2018-02-13
17,2018-02-14
13,2018-02-15
13,2018-02-16
19,2018-02-17
4,2018-02-18
16,2018-02-19
25,2018-02-20
22,2018-02-21
12,2018-02-22
31,2018-02-23
44,2018-02-24
3,2018-02-25
20,2018-02-26
12,2018-02-27
19,2018-02-28
20,2018-03-01
34,2018-03-02
25,2018-03-03
8,2018-03-04
18,2018-03-05
22,2018-03-06
28,2018-03-07
22,2018-03-08
22,2018-03-09
23,2018-03-10
7,2018-03-11
12,2018-03-12
23,2018-03-13
20,2018-03-14
21,2018-03-15
28,2018-03-16
37,2018-03-17
7,2018-03-18
21,2018-03-19
31,2018-03-20
17,2018-03-21
39,2018-03-22
24,2018-03-23
28,2018-03-24
4,2018-03-25
22,2018-03-26
12,2018-03-27
19,2018-03-28
21,2018-03-29
2,2018-03-30
23,2018-03-31
7,2018-04-01
13,2018-04-02
25,2018-04-03
31,2018-04-04
28,2018-04-05
54,2018-04-06
55,2018-04-07
11,2018-04-08
30,2018-04-09
30,2018-04-10
46,2018-04-11
34,2018-04-12
46,2018-04-13
54,2018-04-14
5,2018-04-15
32,2018-04-16
32,2018-04-17
34,2018-04-18
48,2018-04-19
54,2018-04-20
62,2018-04-21
6,2018-04-22
39,2018-04-23
69,2018-04-24
40,2018-04-25
67,2018-04-26
65,2018-04-27
54,2018-04-28
16,2018-04-29
70,2018-04-30
5,2018-05-01
73,2018-05-02
85,2018-05-03
135,2018-05-04
124,2018-05-05
21,2018-05-06
36,2018-05-07
50,2018-05-08
45,2018-05-09
50,2018-05-10
63,2018-05-11
55,2018-05-12
9,2018-05-13
38,2018-05-14
45,2018-05-15
200,2018-05-16
172,2018-05-17
205,2018-05-18
50,2018-05-19
10,2018-05-20
31,2018-05-21
41,2018-05-22
54,2018-05-23
42,2018-05-24
45,2018-05-25
44,2018-05-26
11,2018-05-27
39,2018-05-28
39,2018-05-29
41,2018-05-30
40,2018-05-31
54,2018-06-01
42,2018-06-02
9,2018-06-03
38,2018-06-04
76,2018-06-05
71,2018-06-06
61,2018-06-07
48,2018-06-08
42,2018-06-09
10,2018-06-10
40,2018-06-11
53,2018-06-12
148,2018-06-13
146,2018-06-14
125,2018-06-15
96,2018-06-16
32,2018-06-17
46,2018-06-18
37,2018-06-19
36,2018-06-20
41,2018-06-21
37,2018-06-22
16,2018-06-23
8,2018-06-24
18,2018-06-25
45,2018-06-26
42,2018-06-27
34,2018-06-28
46,2018-06-29
49,2018-06-30
22,2018-07-01
59,2018-07-02
48,2018-07-03
40,2018-07-04
57,2018-07-05
42,2018-07-06
48,2018-07-07
15,2018-07-08
