TotalEvent,date,productSKU,eventAction
905,20200615,211902540,productDetail
171,20200615,211902540,addToCart
128,20200616,211902540,addToCart
738,20200616,211902540,productDetail
137,20200617,211902540,addToCart
782,20200617,211902540,productDetail
111,20200618,211902540,addToCart
630,20200618,211902540,productDetail
113,20200619,211902540,addToCart
575,20200619,211902540,productDetail
72,20200620,211902540,addToCart
549,20200620,211902540,productDetail
631,20200621,211902540,productDetail
79,20200621,211902540,addToCart
106,20200622,211902540,addToCart
668,20200622,211902540,productDetail
86,20200623,211902540,addToCart
685,20200623,211902540,productDetail
627,20200624,211902540,productDetail
85,20200624,211902540,addToCart
150,20200625,211902540,addToCart
692,20200625,211902540,productDetail
720,20200626,211902540,productDetail
150,20200626,211902540,addToCart
153,20200627,211902540,addToCart
660,20200627,211902540,productDetail
682,20200628,211902540,productDetail
157,20200628,211902540,addToCart
158,20200629,211902540,addToCart
790,20200629,211902540,productDetail
145,20200630,211902540,addToCart
766,20200630,211902540,productDetail
738,20200701,211902540,productDetail
98,20200701,211902540,addToCart
110,20200702,211902540,addToCart
743,20200702,211902540,productDetail
80,20200703,211902540,addToCart
621,20200703,211902540,productDetail
669,20200704,211902540,productDetail
100,20200704,211902540,addToCart
75,20200705,211902540,addToCart
685,20200705,211902540,productDetail
627,20200706,211902540,productDetail
102,20200706,211902540,addToCart
574,20200707,211902540,productDetail
72,20200707,211902540,addToCart
61,20200708,211902540,addToCart
522,20200708,211902540,productDetail
436,20200709,211902540,productDetail
39,20200709,211902540,addToCart
456,20200710,211902540,productDetail
39,20200710,211902540,addToCart
54,20200711,211902540,addToCart
396,20200711,211902540,productDetail
418,20200712,211902540,productDetail
40,20200712,211902540,addToCart
42,20200713,211902540,addToCart
404,20200713,211902540,productDetail
427,20200714,211902540,productDetail
42,20200714,211902540,addToCart
36,20200715,211902540,addToCart
404,20200715,211902540,productDetail
45,20200716,211902540,addToCart
415,20200716,211902540,productDetail
375,20200717,211902540,productDetail
41,20200717,211902540,addToCart
42,20200718,211902540,addToCart
437,20200718,211902540,productDetail
53,20200719,211902540,addToCart
476,20200719,211902540,productDetail
519,20200720,211902540,productDetail
47,20200720,211902540,addToCart
79,20200721,211902540,addToCart
594,20200721,211902540,productDetail
617,20200722,211902540,productDetail
53,20200722,211902540,addToCart
54,20200723,211902540,addToCart
601,20200723,211902540,productDetail
69,20200724,211902540,addToCart
672,20200724,211902540,productDetail
62,20200725,211902540,addToCart
623,20200725,211902540,productDetail
76,20200726,211902540,addToCart
630,20200726,211902540,productDetail
78,20200727,211902540,addToCart
765,20200727,211902540,productDetail
110,20200728,211902540,addToCart
965,20200728,211902540,productDetail
880,20200729,211902540,productDetail
118,20200729,211902540,addToCart
105,20200730,211902540,addToCart
933,20200730,211902540,productDetail
785,20200731,211902540,productDetail
112,20200731,211902540,addToCart
75,20200801,211902540,addToCart
622,20200801,211902540,productDetail
648,20200802,211902540,productDetail
65,20200802,211902540,addToCart
629,20200803,211902540,productDetail
63,20200803,211902540,addToCart
662,20200804,211902540,productDetail
53,20200804,211902540,addToCart
63,20200805,211902540,addToCart
585,20200805,211902540,productDetail
67,20200806,211902540,addToCart
563,20200806,211902540,productDetail
72,20200807,211902540,addToCart
511,20200807,211902540,productDetail
95,20200808,211902540,addToCart
1174,20200808,211902540,productDetail
107,20200809,211902540,addToCart
812,20200809,211902540,productDetail
683,20200810,211902540,productDetail
67,20200810,211902540,addToCart
69,20200811,211902540,addToCart
677,20200811,211902540,productDetail
58,20200812,211902540,addToCart
605,20200812,211902540,productDetail
613,20200813,211902540,productDetail
55,20200813,211902540,addToCart
49,20200814,211902540,addToCart
459,20200814,211902540,productDetail
29,20200815,211902540,addToCart
385,20200815,211902540,productDetail
32,20200816,211902540,addToCart
450,20200816,211902540,productDetail
50,20200817,211902540,addToCart
612,20200817,211902540,productDetail
557,20200818,211902540,productDetail
35,20200818,211902540,addToCart
51,20200819,211902540,addToCart
625,20200819,211902540,productDetail
57,20200820,211902540,addToCart
503,20200820,211902540,productDetail
469,20200821,211902540,productDetail
53,20200821,211902540,addToCart
54,20200822,211902540,addToCart
496,20200822,211902540,productDetail
677,20200823,211902540,productDetail
82,20200823,211902540,addToCart
781,20200824,211902540,productDetail
86,20200824,211902540,addToCart
75,20200825,211902540,addToCart
799,20200825,211902540,productDetail
60,20200826,211902540,addToCart
660,20200826,211902540,productDetail
65,20200827,211902540,addToCart
603,20200827,211902540,productDetail
656,20200828,211902540,productDetail
64,20200828,211902540,addToCart
51,20200829,211902540,addToCart
543,20200829,211902540,productDetail
67,20200830,211902540,addToCart
636,20200830,211902540,productDetail
612,20200831,211902540,productDetail
71,20200831,211902540,addToCart
55,20200901,211902540,addToCart
734,20200901,211902540,productDetail
53,20200902,211902540,addToCart
708,20200902,211902540,productDetail
569,20200903,211902540,productDetail
56,20200903,211902540,addToCart
523,20200904,211902540,productDetail
39,20200904,211902540,addToCart
53,20200905,211902540,addToCart
561,20200905,211902540,productDetail
553,20200906,211902540,productDetail
48,20200906,211902540,addToCart
535,20200907,211902540,productDetail
48,20200907,211902540,addToCart
395,20200908,211902540,productDetail
23,20200908,211902540,addToCart
484,20200909,211902540,productDetail
37,20200909,211902540,addToCart
27,20200910,211902540,addToCart
401,20200910,211902540,productDetail
430,20200911,211902540,productDetail
39,20200911,211902540,addToCart
381,20200912,211902540,productDetail
32,20200912,211902540,addToCart
482,20200913,211902540,productDetail
39,20200913,211902540,addToCart
478,20200914,211902540,productDetail
34,20200914,211902540,addToCart
32,20200915,211902540,addToCart
440,20200915,211902540,productDetail
33,20200916,211902540,addToCart
476,20200916,211902540,productDetail
26,20200917,211902540,addToCart
417,20200917,211902540,productDetail
43,20200918,211902540,addToCart
407,20200918,211902540,productDetail
452,20200919,211902540,productDetail
44,20200919,211902540,addToCart
58,20200920,211902540,addToCart
516,20200920,211902540,productDetail
58,20200921,211902540,addToCart
509,20200921,211902540,productDetail
69,20200922,211902540,addToCart
442,20200922,211902540,productDetail
79,20200923,211902540,addToCart
449,20200923,211902540,productDetail
544,20200924,211902540,productDetail
50,20200924,211902540,addToCart
572,20200925,211902540,productDetail
49,20200925,211902540,addToCart
614,20200926,211902540,productDetail
58,20200926,211902540,addToCart
61,20200927,211902540,addToCart
670,20200927,211902540,productDetail
28,20200928,211902540,addToCart
418,20200928,211902540,productDetail
49,20200929,211902540,addToCart
542,20200929,211902540,productDetail
662,20200930,211902540,productDetail
63,20200930,211902540,addToCart
531,20201001,211902540,productDetail
59,20201001,211902540,addToCart
511,20201002,211902540,productDetail
59,20201002,211902540,addToCart
43,20201003,211902540,addToCart
512,20201003,211902540,productDetail
583,20201004,211902540,productDetail
59,20201004,211902540,addToCart
72,20201005,211902540,addToCart
567,20201005,211902540,productDetail
66,20201006,211902540,addToCart
459,20201006,211902540,productDetail
493,20201007,211902540,productDetail
65,20201007,211902540,addToCart
651,20201008,211902540,productDetail
52,20201008,211902540,addToCart
40,20201009,211902540,addToCart
602,20201009,211902540,productDetail
43,20201010,211902540,addToCart
624,20201010,211902540,productDetail
57,20201011,211902540,addToCart
585,20201011,211902540,productDetail
618,20201012,211902540,productDetail
72,20201012,211902540,addToCart
64,20201013,211902540,addToCart
636,20201013,211902540,productDetail
66,20201014,211902540,addToCart
555,20201014,211902540,productDetail
38,20201015,211902540,addToCart
450,20201015,211902540,productDetail
38,20201016,211902540,addToCart
446,20201016,211902540,productDetail
429,20201017,211902540,productDetail
47,20201017,211902540,addToCart
500,20201018,211902540,productDetail
63,20201018,211902540,addToCart
453,20201019,211902540,productDetail
36,20201019,211902540,addToCart
30,20201020,211902540,addToCart
449,20201020,211902540,productDetail
28,20201021,211902540,addToCart
412,20201021,211902540,productDetail
495,20201022,211902540,productDetail
43,20201022,211902540,addToCart
365,20201023,211902540,productDetail
31,20201023,211902540,addToCart
42,20201024,211902540,addToCart
442,20201024,211902540,productDetail
44,20201025,211902540,addToCart
501,20201025,211902540,productDetail
391,20201026,211902540,productDetail
31,20201026,211902540,addToCart
61,20201027,211902540,addToCart
457,20201027,211902540,productDetail
339,20201028,211902540,productDetail
30,20201028,211902540,addToCart
334,20201029,211902540,productDetail
31,20201029,211902540,addToCart
39,20201030,211902540,addToCart
249,20201030,211902540,productDetail
289,20201031,211902540,productDetail
32,20201031,211902540,addToCart
51,20201101,211902540,addToCart
449,20201101,211902540,productDetail
72,20201102,211902540,addToCart
535,20201102,211902540,productDetail
522,20201103,211902540,productDetail
41,20201103,211902540,addToCart
633,20201104,211902540,productDetail
64,20201104,211902540,addToCart
65,20201105,211902540,addToCart
675,20201105,211902540,productDetail
57,20201106,211902540,addToCart
583,20201106,211902540,productDetail
69,20201107,211902540,addToCart
681,20201107,211902540,productDetail
90,20201108,211902540,addToCart
793,20201108,211902540,productDetail
122,20201109,211902540,addToCart
919,20201109,211902540,productDetail
674,20201110,211902540,productDetail
65,20201110,211902540,addToCart
779,20201111,211902540,productDetail
130,20201111,211902540,addToCart
662,20201112,211902540,productDetail
79,20201112,211902540,addToCart
96,20201113,211902540,addToCart
681,20201113,211902540,productDetail
75,20201114,211902540,addToCart
780,20201114,211902540,productDetail
898,20201115,211902540,productDetail
109,20201115,211902540,addToCart
856,20201116,211902540,productDetail
120,20201116,211902540,addToCart
930,20201117,211902540,productDetail
111,20201117,211902540,addToCart
118,20201118,211902540,addToCart
830,20201118,211902540,productDetail
862,20201119,211902540,productDetail
146,20201119,211902540,addToCart
213,20201120,211902540,addToCart
1284,20201120,211902540,productDetail
1164,20201121,211902540,productDetail
222,20201121,211902540,addToCart
183,20201122,211902540,addToCart
1126,20201122,211902540,productDetail
161,20201123,211902540,addToCart
966,20201123,211902540,productDetail
128,20201124,211902540,addToCart
945,20201124,211902540,productDetail
883,20201125,211902540,productDetail
153,20201125,211902540,addToCart
190,20201126,211902540,addToCart
1034,20201126,211902540,productDetail
228,20201127,211902540,addToCart
1289,20201127,211902540,productDetail
1276,20201128,211902540,productDetail
230,20201128,211902540,addToCart
164,20201129,211902540,addToCart
1127,20201129,211902540,productDetail
35,20201130,211902540,addToCart
377,20201130,211902540,productDetail
725,20201201,211902540,productDetail
100,20201201,211902540,addToCart
793,20201202,211902540,productDetail
159,20201202,211902540,addToCart
822,20201203,211902540,productDetail
125,20201203,211902540,addToCart
155,20201204,211902540,addToCart
986,20201204,211902540,productDetail
1014,20201205,211902540,productDetail
165,20201205,211902540,addToCart
181,20201206,211902540,addToCart
1162,20201206,211902540,productDetail
201,20201207,211902540,addToCart
1349,20201207,211902540,productDetail
209,20201208,211902540,addToCart
1590,20201208,211902540,productDetail
189,20201209,211902540,addToCart
1259,20201209,211902540,productDetail
186,20201210,211902540,addToCart
1432,20201210,211902540,productDetail
109,20201211,211902540,addToCart
902,20201211,211902540,productDetail
458,20201212,211902540,productDetail
76,20201212,211902540,addToCart
1127,20201213,211902540,productDetail
135,20201213,211902540,addToCart
149,20201214,211902540,addToCart
1065,20201214,211902540,productDetail
1583,20201215,211902540,productDetail
243,20201215,211902540,addToCart
208,20201216,211902540,addToCart
1588,20201216,211902540,productDetail
234,20201217,211902540,addToCart
1490,20201217,211902540,productDetail
209,20201218,211902540,addToCart
1414,20201218,211902540,productDetail
225,20201219,211902540,addToCart
1676,20201219,211902540,productDetail
1822,20201220,211902540,productDetail
210,20201220,211902540,addToCart
1477,20201221,211902540,productDetail
202,20201221,211902540,addToCart
1339,20201222,211902540,productDetail
164,20201222,211902540,addToCart
133,20201223,211902540,addToCart
1200,20201223,211902540,productDetail
106,20201224,211902540,addToCart
835,20201224,211902540,productDetail
1457,20201225,211902540,productDetail
164,20201225,211902540,addToCart
245,20201226,211902540,addToCart
1920,20201226,211902540,productDetail
274,20201227,211902540,addToCart
2098,20201227,211902540,productDetail
1850,20201228,211902540,productDetail
214,20201228,211902540,addToCart
215,20201229,211902540,addToCart
1699,20201229,211902540,productDetail
186,20201230,211902540,addToCart
1389,20201230,211902540,productDetail
842,20201231,211902540,productDetail
104,20201231,211902540,addToCart
141,20210101,211902540,addToCart
998,20210101,211902540,productDetail
147,20210102,211902540,addToCart
1402,20210102,211902540,productDetail
1335,20210103,211902540,productDetail
135,20210103,211902540,addToCart
1223,20210104,211902540,productDetail
118,20210104,211902540,addToCart
948,20210105,211902540,productDetail
119,20210105,211902540,addToCart
129,20210106,211902540,addToCart
1425,20210106,211902540,productDetail
1290,20210107,211902540,productDetail
129,20210107,211902540,addToCart
113,20210108,211902540,addToCart
1094,20210108,211902540,productDetail
1001,20210109,211902540,productDetail
71,20210109,211902540,addToCart
115,20210110,211902540,addToCart
1026,20210110,211902540,productDetail
94,20210111,211902540,addToCart
1042,20210111,211902540,productDetail
1050,20210112,211902540,productDetail
121,20210112,211902540,addToCart
821,20210113,211902540,productDetail
85,20210113,211902540,addToCart
96,20210114,211902540,addToCart
800,20210114,211902540,productDetail
887,20210115,211902540,productDetail
115,20210115,211902540,addToCart
84,20210116,211902540,addToCart
835,20210116,211902540,productDetail
120,20210117,211902540,addToCart
898,20210117,211902540,productDetail
3154,20210118,211902540,productDetail
246,20210118,211902540,addToCart
1378,20210119,211902540,productDetail
